"State";"Account Length";"Phone";"Int'l Plan";"VMail Plan";"Day Mins";"Area Code";"VMail Message";"Day Calls";"Day Charge";"Eve Mins";"Eve Calls";"Eve Charge";"Night Mins";"Night Calls";"Night Charge";"Intl Mins";"Intl Calls";"Intl Charge";"CustServ Calls";"Churn?"
"MS";"61";"414-8718";"no";"yes";"187.500000";510.0;27.0;124.0;31.88;146.6;103.0;12.46;225.7;129.0;10.16;6.4;6.0;1.73;4.0;"True."
"TX";"92";"409-5939";"no";"no";"91.700000";408.0;0.0;90.0;15.59;193.7;123.0;16.46;175.0;86.0;7.88;9.2;4.0;2.48;2.0;"False."
"NE";"131";"331-4902";"no";"yes";"214.200000";408.0;36.0;115.0;36.41;161.7;117.0;13.74;264.7;102.0;11.91;9.5;4.0;2.57;3.0;"False."
"NE";"90";"353-6870";"no";"no";"145.500000";415.0;0.0;92.0;24.74;217.7;114.0;18.5;146.9;123.0;6.61;10.9;2.0;2.94;3.0;"False."
"CA";"75";"355-2909";"no";"no";"166.300000";408.0;0.0;125.0;28.27;158.2;86.0;13.45;256.7;80.0;11.55;6.1;5.0;1.65;1.0;"False."
"NJ";"78";"390-6101";"no";"no";"231.000000";415.0;0.0;115.0;39.27;230.4;140.0;19.58;261.4;120.0;11.76;9.5;3.0;2.57;1.0;"False."
"TX";"82";"400-3446";"no";"no";"200.300000";408.0;0.0;96.0;34.05;201.2;102.0;17.1;206.1;60.0;9.27;7.1;1.0;1.92;4.0;"False."
"AR";"163";"411-5859";"no";"no";"197.000000";408.0;0.0;109.0;33.49;202.6;128.0;17.22;206.4;80.0;9.29;9.1;10.0;2.46;1.0;"False."
"AL";"91";"387-2919";"yes";"no";"129.900000";510.0;0.0;112.0;22.08;173.3;83.0;14.73;247.2;130.0;11.12;11.2;3.0;3.02;3.0;"False."
"NY";"75";"374-8525";"no";"yes";"175.800000";415.0;21.0;97.0;29.89;217.5;106.0;18.49;237.5;134.0;10.69;5.3;4.0;1.43;5.0;"False."
"FL";"91";"379-5592";"no";"no";"203.100000";510.0;0.0;106.0;34.53;210.1;113.0;17.86;195.6;129.0;8.8;12.0;3.0;3.24;3.0;"False."
"AK";"127";"345-8237";"no";"yes";"183.200000";510.0;36.0;117.0;31.14;126.8;76.0;10.78;263.3;71.0;11.85;11.2;8.0;3.02;1.0;"False."
"NV";"113";"422-6690";"no";"yes";"205.000000";415.0;23.0;101.0;34.85;152.0;60.0;12.92;158.6;59.0;7.14;10.2;5.0;2.75;2.0;"False."
"DE";"110";"346-2359";"no";"no";"148.500000";510.0;0.0;115.0;25.25;276.4;84.0;23.49;193.6;112.0;8.71;12.4;3.0;3.35;1.0;"False."
"MD";"120";"374-3534";"no";"yes";"200.300000";415.0;39.0;68.0;34.05;220.4;97.0;18.73;253.8;116.0;11.42;10.5;4.0;2.84;0.0;"False."
"MI";"157";"381-4756";"no";"yes";"192.600000";415.0;28.0;107.0;32.74;195.5;74.0;16.62;109.7;139.0;4.94;6.8;5.0;1.84;3.0;"False."
"VT";"103";"390-2805";"no";"no";"246.500000";510.0;0.0;47.0;41.91;195.5;84.0;16.62;200.5;96.0;9.02;11.7;4.0;3.16;1.0;"False."
"VT";"117";"390-2390";"yes";"no";"167.100000";408.0;0.0;86.0;28.41;177.5;87.0;15.09;249.4;132.0;11.22;14.1;7.0;3.81;2.0;"True."
"MI";"140";"419-9097";"no";"no";"231.900000";415.0;0.0;101.0;39.42;160.1;94.0;13.61;110.4;98.0;4.97;14.3;6.0;3.86;3.0;"False."
"WA";"127";"386-7281";"no";"no";"146.700000";408.0;0.0;91.0;24.94;203.5;78.0;17.3;203.4;110.0;9.15;13.7;3.0;3.7;1.0;"False."
"UT";"83";"380-3561";"yes";"no";"271.500000";408.0;0.0;87.0;46.16;216.3;126.0;18.39;121.1;105.0;5.45;11.7;4.0;3.16;1.0;"False."
"LA";"121";"390-8760";"no";"no";"181.500000";408.0;0.0;121.0;30.86;218.4;98.0;18.56;161.6;103.0;7.27;8.5;5.0;2.3;1.0;"False."
"RI";"145";"366-6730";"no";"yes";"257.700000";408.0;43.0;97.0;43.81;162.1;95.0;13.78;286.9;86.0;12.91;11.1;4.0;3.0;2.0;"False."
"IA";"113";"395-5285";"no";"no";"193.800000";408.0;0.0;99.0;32.95;221.4;125.0;18.82;172.3;67.0;7.75;10.6;6.0;2.86;1.0;"False."
"NE";"117";"354-3436";"no";"no";"102.800000";415.0;0.0;119.0;17.48;206.7;91.0;17.57;299.0;105.0;13.46;10.1;7.0;2.73;1.0;"False."
"OH";"65";"336-7600";"no";"no";"187.900000";408.0;0.0;116.0;31.94;157.6;117.0;13.4;227.3;86.0;10.23;7.5;6.0;2.03;1.0;"False."
"RI";"56";"383-6293";"no";"no";"226.000000";415.0;0.0;112.0;38.42;248.5;118.0;21.12;140.5;142.0;6.32;6.9;11.0;1.86;1.0;"False."
"OK";"96";"362-4596";"no";"no";"260.400000";415.0;0.0;115.0;44.27;146.0;46.0;12.41;269.5;87.0;12.13;11.5;4.0;3.11;5.0;"False."
"LA";"151";"401-3926";"no";"no";"178.700000";408.0;0.0;116.0;30.38;292.1;138.0;24.83;265.9;101.0;11.97;9.8;4.0;2.65;0.0;"False."
"OH";"83";"370-9116";"no";"no";"337.400000";415.0;0.0;120.0;57.36;227.4;116.0;19.33;153.9;114.0;6.93;15.8;7.0;4.27;0.0;"True."
"VA";"139";"328-6289";"no";"yes";"157.600000";510.0;23.0;129.0;26.79;247.0;96.0;21.0;259.2;112.0;11.66;13.7;2.0;3.7;0.0;"False."
"MO";"6";"350-9994";"no";"no";"183.600000";510.0;0.0;117.0;31.21;256.7;72.0;21.82;178.6;79.0;8.04;10.2;2.0;2.75;1.0;"False."
"FL";"115";"351-4616";"no";"yes";"142.100000";510.0;24.0;124.0;24.16;183.4;129.0;15.59;164.8;114.0;7.42;9.6;4.0;2.59;1.0;"False."
